name,rate,votes
Sugar Rush,3.8,39
Polar Bear,3.9,116
San Churro Cafe,3.8,918
Anand Sweets and Savouries,3.7,46
Ibaco,3.9,41
Kirthi's Biryani,3.8,144
The Lassi and Juice Park,3.8,28
Stoned Monkey,4.3,860
Parimala Sweets,3.5,14
The Big O Bakes,4.0,66
Shree Mahalakshmi Sweets,3.2,8
Keventers,3.7,54
Dessert Rose,3.5,7
Thanco's Natural Ice Creams,3.2,9
Corner Stone,3.6,42
Kaggis,3.8,64
Cocoa Bakes,3.6,14
Floured-Baked With Love,3.8,45
CAFE NOVA,3.2,11
Cakes & Slices,3.5,13
Arun Ice Cream,3.4,7
Just Bake,3.4,8
Kwality Wall's Swirl's Happiness Station,2.9,25
Sweet N Swirl,3.2,17
Sweet Truth,3.9,35
Waffle-A-Go Go,3.9,70
Sri Venkateshwara Sweet Meat Stall,4.0,98
Baskin Robbins,3.7,25
Redberrys,4.0,219
Amande Patisserie,4.0,73
Srinivasa Brahmins Bakery,3.6,16
Jain Bakes,3.6,8
Cake Ghar,3.8,15
KC Das - Sweet Spot,3.6,46
Diabetics Dezire Sugarless Sweets and Bakes,3.3,13
Cake Yard,3.3,9
Iceberg Icecreams,4.0,43
A2B Veg - Adyar Ananda Bhavan,2.7,97
Sri Krishna Sweets,3.7,22
Cake Art,3.5,15
Asha Sweets Centre,3.6,27
The Krishna Grand,3.9,888
Sea Spice by 7 Star,4.0,349
Mini Punjabi Dhaba,4.2,287
Onesta,4.6,2556
Wamama,4.2,354
Jalsa,4.1,775
Vinny's,4.2,2115
Jcubez,3.8,977
Gustoes Beer House,4.1,868
Penthouse Cafe,4.0,324
Spice Elephant,4.1,787
Smacznego,4.2,504
CafÃÂÃÂÃÂÃÂ© Down The Alley,4.1,402
Cafe Shuffle,4.2,150
The Coffee Shack,4.2,164
Peppy Peppers,4.2,244
Anna Kuteera,4.0,771
Szechuan Dragon,4.2,1647
1947,4.0,808
Caf-Eleven,4.0,424
Thamboola,3.9,135
Havyaka Mess,3.9,28
San Churro Cafe,3.8,918
Cafe Vivacity,3.8,90
Chung Wah,3.9,519
Vietnamese Kitchen,3.6,105
Blue Wings Bar & Restaurant,3.7,43
Anand Sweets and Savouries,3.7,46
Catch-up-ino,3.9,133
Kirthi's Biryani,3.8,144
T3H Cafe,3.9,93
Srikrishna Bhavan,3.8,42
Dal Tadkaa,2.5,247
360 Atoms Restaurant And Cafe,3.1,13
New Imperial Restaurant,3.7,39
The Vintage Cafe,3.0,62
Green Gardenia,3.8,160
Parimala Sweets,3.5,14
Vaishali Deluxe,3.8,42
Paradise Premium,3.1,119
Kadala Tarangaa,3.6,129
Vi Ra's Bar and Restaurant,3.3,62
Sri Yaksha Shiv Sagar,3.6,24
Nandhini Deluxe,2.6,283
Corner Stone,3.6,42
Karavali Fish Center,3.4,10
Ayda Persian Kitchen,3.7,39
J Spice,3.8,59
Swadesh Tadka,3.5,179
Iyer's Tiffin Centre,3.8,62
Kydz Adda,3.4,6
K27 - The Pub,3.1,30
Kotian Karavali Restaurant,3.5,10
Food Box Cafe,3.6,36
Hide Out Cafe,3.7,31
CAFE NOVA,3.2,11
Darbar,3.0,98
Sri Ganesh Juice and Chats,3.5,18
Manifest Cafe,3.5,10
Beijing Bites,2.7,128
The Pizzeria,2.8,45
Sri Krishna Sagar,3.2,119
Lassi Stop,3.4,12
Sea Green Cafe,3.3,4
As On Fire,3.5,41
Pizza Hut,3.7,405
New Prashanth Hotel,3.9,388
Taaza Thindi,4.7,651
Ayodhya Upachar,4.3,734
Petoo,3.7,21
Roving Feast,4.0,1047
KFC,3.8,505
Five Star Chicken,3.6,55
Gama Gama,3.9,264
Hotel New Karavali,3.8,133
McDonald's,3.9,286
Sri Laxmi Venkateshwara Coffee Bar,4.4,343
Bhattara Bhojana,3.6,66
Davanagere Benne Dose Hut,3.4,10
Utsav Restaurant,3.8,61
Messy Bowl,3.8,70
Devanna Dum Biriyani Centre,3.6,28
Janahaar,3.8,70
Stop 'N' Joy,3.8,28
Dodda Mane Baaduta,3.5,15
Chickpet Donne Biryani House,3.8,131
Brahmin Cafe,3.8,19
Chumma Delicious,3.7,237
Udupi Upachar,3.3,6
Bengaluru Coffee House,4.1,201
Foodiction,2.8,506
The Biryani Cafe,4.1,520
Banashankari Donne Biriyani,3.8,104
Addhuri Udupi Bhojana,3.7,88
Vasanth Vihar - Since 1965,3.6,95
Subway,3.7,136
SGS Non Veg - Gundu Pulav,3.8,101
Udupi Ruchi Grand,4.2,60
Hotel Mangala,3.9,88
Simple Thindies,3.5,8
Rolls On Wheels,3.4,145
Chilli Flakes,3.6,46
Kababs N Biryani,3.4,22
Udupi Ruchi,3.9,57
SLV Swadishta,3.8,189
Kolbeh,3.7,22
Kolkata Kathi Roll's,3.6,18
Mylari Biryani Family Restaurant,3.7,73
Upahar Sagar,3.8,39
Domino's Pizza,3.9,540
New Sagar Fast Food,3.6,71
Namma Biryani,3.6,24
Parama Ruchi,3.5,11
Thrilok Restaurant,3.4,9
Meat And Eat,3.5,12
Ande Ka Funda,3.8,120
Dakshin Grand,3.0,82
Chicken Hunt,3.5,88
Maruthi Davangere Benne Dosa,4.0,17
Pizza Stop,3.0,87
Madhappa Hindu Military Hotel,3.4,14
Krishna Sagar,3.5,31
Hanumanthanagar Biryani Junction,3.5,17
Faasos,4.2,415
Rasoi,3.3,128
SLV Refreshment,4.1,94
Kaggis,3.8,64
Chatar Patar,3.7,65
Seven Star,3.4,7
SVKP Daily Fresh,3.3,5
Kidambi's Kitchen,3.5,52
Ruchi's Corner,2.7,123
Tandoori Knight,3.0,290
Utsav,3.7,59
Mane Thindi,3.7,130
Fast And Fresh,2.8,91
New Gowda's Fried Chicken,3.3,12
Juicy Momos,3.5,80
Donne Biriyani House,3.9,441
Srinagar Kabab Corner,3.4,10
Sri Venkateshwara Chat Centre,3.5,12
Vinay Bhel Corner,3.4,7
Spice 9,3.4,8
Naveen Kabab & Biriyani Mane,3.2,9
Nandi Chats and Juice,3.6,47
Atithi Point Ande Ka Funda,3.1,29
Just Shawarma,3.8,66
Aramane Donne Biryani,3.1,28
FOOD ADDA,3.2,4
New Mangalore Lunch Home,3.3,7
Hotel Nisarga,3.2,5
Coffee Bytes,3.1,6
Parjanya Chat Zone,3.3,17
Yo Roll Corner,3.0,27
New Quality Dum Biryani,3.1,9
Sri Lakshmi Kabab Center,3.3,4
Tasty Bites,3.7,21
Raams Chicken,3.6,22
Panchami,3.0,15
VEGeatz,3.4,19
Grand Food,3.4,8
Matru Sagar,3.6,84
Kavali,4.0,42
Bunt's Biriyani Palace,3.0,213
Funjabi Curries,2.9,11
Udupi Upahar,3.8,58
Ranganna Military Hotel,4.2,725
Roti Ghar,3.9,750
Grand Village,3.8,166
Vidyarthi Bhavan,4.4,4460
Bharjari Oota,3.9,153
Gokul Veg,3.8,469
SLV Corner Restaurant,4.1,364
Timepass Dinner,3.8,286
Baisakhi,3.8,527
Eat Repeat,3.9,101
Sri Guru Kottureshwara Davangere Benne Dosa,4.1,558
Bridgeway,3.8,94
Srinathji's Cafe,3.8,148
Soho Bar & Grill,2.7,377
Kollapuri's,3.9,206
Aadhya Hotel,3.3,5
Bhavani Restaurant,3.9,100
Puliyogare Point,4.2,444
Zephyr,3.9,133
Redberrys,4.0,219
Hotel Dwarka,4.2,253
Nisarga Garden Restaurant,3.4,51
Ma-Arya Family Restaurant,3.7,61
A2B - Adyar Ananda Bhavan,3.8,155
Ragoo's,3.9,233
Imperial Restaurant,3.7,264
New Prashanth Hotel,3.9,66
Udupi Sri Krishna Bhavan,4.1,238
Chinese Kitchen,3.8,58
Vijayalakshmi,3.9,47
Nammura Donne Biriyani,3.5,155
Curry Leaves,4.1,176
Goli Vada Pav No. 1,3.7,93
Ice Thunder,3.8,124
South Kitchen,4.3,275
Upahara Darshini,4.2,254
Mahalaxmi Tiffin Room,4.1,177
Starlite Bakery & Fastfood,3.7,23
Sandwichwallas,4.0,132
J K Fish Land,3.6,35
Udupi Grand,3.8,74
Chinese Square,3.9,38
Castle Rock,3.6,172
Swadd Kitchen,3.4,4
Kamat Bugle Rock,3.9,543
Basavanagudi Mylari,4.0,52
RS Shiv Sagar,3.7,217
New Prashanth Hotel,2.9,34
Shrinidhi Military Hotel,3.3,6
Dakshin Kitchen,3.6,15
Pramukh Family Restaurant,3.9,111
Chaatimes,3.8,133
Vybhava,3.8,39
Shree Venkateshwara North Karnataka Hotel,4.0,64
Kadamba Classic,3.6,16
Food Geek,3.8,25
Rosewood International Hotel - Bar & Restaurant,3.6,8
Anand Sagar Inn,3.3,6
Sangam Military Hotel,3.2,14
Kholi Mane,3.6,46
Harshi Super Sandwich,3.8,148
Hotel Pork Paradise,3.7,21
Belly Squad Food Truck,3.8,55
New Rajadhani Spicy,3.7,67
Matru Sagar,3.7,31
Sri Udupi Veg,3.3,4
50-50 EATING HOUSE,3.2,4
Om Shiva Shakthi Chats Centre,3.9,26
Juice Junction Food Court,3.7,57
Burger King,3.2,71
Rolls Corner,3.6,22
New Ambur Hot Dum Biryani,3.2,8
Shri Vinayaka Ice N Juice,3.2,11
Happy Chopsticks,3.6,17
Jcubez,3.8,977
Gustoes Beer House,4.1,868
Blue Wings Bar & Restaurant,3.7,43
Vi Ra's Bar and Restaurant,3.3,62
K27 - The Pub,3.1,30
Darbar,3.0,98
Soho Bar & Grill,2.7,377
Deja Vu Resto Bar,4.4,2487
Fattoush,4.2,1964
Empire Restaurant,4.3,3178
Abhiruchi Hotel,3.3,455
Tulips,3.1,19
Barbeque Nation,4.7,3845
Sattvam,4.3,353
24th Main,4.1,1234
Zaitoon,4.1,1538
Mango Greens,3.9,49
Oye Amritsar,3.8,756
Melt - Eden Park,4.0,347
Spice Code,4.0,165
The Onyx - The HHI Select Bengaluru,3.3,177
The Pavillion,2.7,43
Sankranthi Veg Restaurant,3.0,102
Tisano Cafe,3.8,54
Cafe Kabana,4.0,200
Butterly,3.9,102
Black Mug Cafe,3.7,171
#refuel,3.7,37
WAFL,3.9,40
Vaho Kafe & Pressery,3.9,125
Dreamcatcher,3.9,49
Cafe Coffee Day,3.6,19
Cafe Arabica,3.8,69
Starbucks,3.9,52
Smoor,3.6,18
Kalmane Koffees,3.9,78
Shee-Sha Cafe,3.6,39
Brews N Bites,2.7,48
D2V Cafe,3.6,13
Cafe Talk,3.3,14
Cafe Choco Craze,3.7,9
Slate Cafe,4.1,46
Dialogues,4.0,129
Mudpipe Cafe,3.9,727
TAB - Take A Break,4.1,521
Biggies Burger 'n' More,4.1,203
